label,text,score,magnitude
-1,how come topping with 6000 will make reach 12000 that means everyone that 5cr earning 6000 minimumthis scheme not feasible and long run will fail due india growing population don care modi rahul but this stupid,-0.800000011920929,0.800000011920929
0,gogoi slams modi for neglecting bjp veterans ,-0.800000011920929,0.800000011920929
-1,"
according law karma vindictive people who out their way hurt others will end broke and alone mrmodi wanted use congress schemes proxy for his own incompetent treacheries heres how even failed article",-0.800000011920929,0.800000011920929
1,"
after studying fiscal implications
and consulting many economists has announced crore poor people get 72000 per year ",-0.6000000238418579,0.6000000238418579
-1,"
atleast this govt trying hard went icj right time
tell what steps your govt took bring back was killed fellow pakistanis jail stop nonsense fool illitrate ppl not ",-0.800000011920929,0.800000011920929
-1,"
benefits that belonged poor used taken away middlemen modi govt has put end exploitation bringing around 440 schemes under direct benefit transfer has transferred lakh directly bank accounts beneficiaries
via namo app",-0.5,0.5
1,"
better butchering bharat battering modi ",0.30000001192092896,0.30000001192092896
-1,"
cong? chor party modi?gareeb lal ?says farmer frm ?also says clueless abt poverty farmers livid coz
cong failed 2fulfill
farm loan waiver sowas congs flw promise
just bait votes ",-0.30000001192092896,0.800000011920929
1,"
development has become mass movement under modi govt with economic social and political empowerment life one and all has witnessed positive paradigm shift this new india
via namo app",0.5,0.5
1,"
federal minister for information and broadcasting chaudhry fawad hussain sunday said unlike indian prime minister narendra modi government minorities enjoyed equal rights naya pakistan prime minister imran khan",0.10000000149011612,0.10000000149011612
1,"
for india emerge stronger and prosperous nation every section society must enjoy ease living with the active support the govt this modis new india
via namo app",0.6000000238418579,0.6000000238418579
0,"
from making international headlines for scams and corruption allegations for decade now being known for anticorruption measures and transparent governance this the change modi ensured for india via namo app",-0.10000000149011612,0.10000000149011612
0,"
from women development womenled development under modi government via namo app",0.10000000149011612,0.10000000149011612
-1,"
how chinese intel penetrated cia front orgs christiessothebys through which nirav modi trades his ill gotten diamonds these houses regularly auction stolen temple idols from india",-0.20000000298023224,0.20000000298023224
-1,"
india used ranked 142 ease doing business 2014 then the modi govt took over the impact historic rise india now stands 77th rank again",0.0,0.0
-1,"
leaving aside all the hate against dynastic politics think this must have step for uplifting people living brink just want congress government for this one thing
hope modi comes with such yojna would love seeing someone getting 6kmonth ",-0.8999999761581421,0.8999999761581421
-1,"
major sources corruption were middlemen between the disbursal govt resources and the end beneficiary modi govt has solved this transfering the benefits directly the bank account beneficiaries thus reaching poorest poor
via namo app",-0.30000001192092896,0.30000001192092896
-1,"
modi govt ensuring development which actually touches the lives poor homes roads gas connections toilets insurance bank accounts loans you name being done via namo app",-0.20000000298023224,0.20000000298023224
0,"
modi govt has provided lpg connections under ujjwala yojana which helping women their families get rid health issues caused indoor air pollution via namo app",-0.20000000298023224,0.20000000298023224
1,"
modi govt insuring the uninsured with jan suraksha yojana for weaker section now with accident insurance available re1month life insurance available less than re1day doors financial security are open for poor
via namo app",-0.30000001192092896,0.30000001192092896
1,"
modi govt notched first from election day itself becoming the first single party majority govt years the massive mandate has enabled give india many firsts development
via namo app",0.4000000059604645,0.4000000059604645
1,"
modi govt notched first from election day itself becoming the first single party majority govt years the massive mandate has enabled give india many firsts development
via namo app ",0.4000000059604645,0.4000000059604645
0,"
modi govtfinishing bsnl benefit reliance jio",-0.20000000298023224,0.20000000298023224
0,"
modi govts efforts last years governance reforms have been institutionalise honesty way that every system and institution designed inculcate well inspire honesty
via namo app",0.8999999761581421,0.8999999761581421
0,"
modi govts vision corruptionfree india ensuring that all those who looted the country are now facing the law
via namo app",-0.4000000059604645,0.4000000059604645
-1,"
modiji wont tired crying foul
main chowkidar hun desh tijoari panja nahi padne dunga but deshbhakt and servent people 14days bfr modi govt conveniently changed rules sez for adani kick back",-0.30000001192092896,0.30000001192092896
1,"
moody upgraded india sovereign credit rating from baa3 baa2 for the first time years all this happening under modi govt again",-0.5,0.5
0,"
namo again and again
vote kar narendra modi appeals everyone during tweetstorm ",-0.5,0.5
1,"
new india where the poor are taken out poverty unprecedented pace their rights are reaching them without any middlemen and time all this happening under modi govt
via namo app",-0.699999988079071,0.699999988079071
1,"
northeast india was totally neglected now northeast leads new indias growth story modi himself has visited the region more than times again",-0.4000000059604645,0.4000000059604645
1,"
one more historic scheme 000 per year per household need work sit home detailed project has been deliberated chidu uncle goes fam rest goes courtiers says much money there india you dont know
yes becos modi",-0.10000000149011612,0.10000000149011612
0,"
one thing reveals specifically this picture that modiji and shahjis friendship unparalleled
modiji aur shahji dosti anupam hai ",0.30000001192092896,0.30000001192092896
0,"
pappu and his partys only agenda fight with modi only and they dont have any matters address which are interest indian public also they betray ",-0.699999988079071,0.699999988079071
-1,"
people india are fed the incompetency modi govt their blatant misuse power rampant corruption misgovernance the overt lies have damaged the countrypeople are now looking towards congrss rule india ",-0.800000011920929,0.800000011920929
-1,"
rahul missing nda
nda missing without modi upa
kamalahasan missing people naidu missing ysr congress
all opposition parties missing kcr",-0.800000011920929,0.800000011920929
1,"
shri narendra modi keynote address 10th india today conclave new delhi march via namo app ",0.0,0.0
-1,"
the debit card introduced govt people banks are under loss people are stopped putting money they wanted tax people the name service digital india started very loss for poor people they brought misery one the utter flop modi govt",-0.800000011920929,0.800000011920929
1,"
the foundation for new india 2022 has already been laid the modi govt with the vision housing health and education for all india realising its aspirations towards prosperous future via namo app",0.4000000059604645,0.4000000059604645
1,"
the foundation for new india 2022 has already been laid the modi govt with the vision housing health and education for all india realizing its aspirations towards prosperous future ",0.6000000238418579,0.6000000238418579
-1,"
then job seekers now job creators due modi govts mudra and startup india schemes again",0.0,0.0
-1,"
then orop was still long pending but neglected demand today due modi govt orop reality our heroes have been respected and their rights have been honoured again",-0.20000000298023224,0.20000000298023224
1,"
these measures modi govt aimed empowering the farmersfind out more this video via namo app",0.0,0.0
1,"
this new india this indias century because has the yuva shakti take great heights modi govt stands firmly with them",0.10000000149011612,0.10000000149011612
1,"
this new india this indias century because has the yuva shakti take great heights modi govt stands firmly with them
via namo app ",-0.10000000149011612,0.10000000149011612
-1,"
through the vision work modi development becoming mass movement where instruments progress are reaching the poorest poor bjp standing for rights poor via namo app",-0.6000000238418579,0.6000000238418579
1,"
todays india aspirational where the middleclass contributing immensely nationbuilding modi govt recognising the dreams and contribution this important segment society and empowering them their endeavours
via namo app",0.5,0.5
1,"
todays india safe and secure with stringent antiterror policies modi govt terror back foot also districts freed from the lweaffected tag the last years
via namo app",-0.20000000298023224,0.20000000298023224
0,"
today youth want job creators and not just job seekers youth think big and take risks they need someone believe them modi govt does
via namo app",-0.800000011920929,0.800000011920929
1,"
under modi govt there arbitrary discretion only development the auction natural resources coal and spectrum infamous for upa scams was done fair and transparent manner now all rules based and with only development mind",-0.10000000149011612,0.10000000149011612
1,"
what good that leader who doesn lead from the front pity all these jokers everyone wants defeat modi but one wants contest elections from maya hassan everyone wants piggy ride their followers ",-0.699999988079071,0.699999988079071
1,"
when comes employment the modi govt has not only ensured huge expansion opportunities but also ensured that our youth are equipped with skills
via namo app",0.800000011920929,0.800000011920929
1,"
worlds first modithemed cafe tamil nadu more videos ",0.20000000298023224,0.20000000298023224
1,"
worlds first modithemed cafe tamil nadu shalinilobo93
more videos ",0.20000000298023224,0.20000000298023224
1,"
 narendra modi can give money india most richest then the congress party capable giving money the country poorest families ",-0.5,0.5
0," aapa only contributions made modi govt data manipulation mastery known all till 2014 villages were electrified but you conveniently shown figures 2000 and 2017 context india
kya modi asia bhi credit lenge ",-0.10000000149011612,0.10000000149011612
0, btw prakash raj contesting from blore central yes modi scared him ,-0.10000000149011612,0.10000000149011612
0, centre state govts working together make india tbfree 2025 narendra modi via namo app ,0.0,0.0
1, cool down chowkidar relax some meditation and yoga might even open your brain see how feku looting and fooling chus like you does your brother from your same mother look like modi ,-0.20000000298023224,0.20000000298023224
1, cool down relax some meditation and yoga might even open your brain see how feku looting and fooling chus like you does your brother from your same mother look like modi ,-0.10000000149011612,0.10000000149011612
-1, its ridiculous risk high value military assets after low value assets like temporary huts modi did even here messed flattened trees and killed crow instead,-0.699999988079071,0.699999988079071
0, modi for vision  then rahul priyanka are for participate ?? ,-0.10000000149011612,0.10000000149011612
0, modi urges noted personalities spread voter awareness via namo app ,0.0,0.0
1, nation pmimran same tke action against muslim family haryana indianstaterss modi followers brutel beaten muslims family why thy celebrate ,-0.4000000059604645,0.4000000059604645
0, never vote for modi,-0.800000011920929,0.800000011920929
0, now air india boarding pass with pictures modi causes stir india news ,-0.5,0.5
